month,permits issued
2011-05,38
2011-06,36
2011-07,31
2011-08,50
2011-09,32
2011-10,47
2011-11,21
2011-12,25
2012-01,26
2012-02,32
2012-03,57
2012-04,35
2012-05,55
2012-06,25
2012-07,49
2012-08,72
2012-09,74
2012-10,77
2012-11,63
2012-12,56
2013-01,69
2013-02,84
2013-03,65
2013-04,84
2013-05,53
2013-06,73
2013-07,101
2013-08,98
2013-09,99
2013-10,99
2013-11,87
2013-12,112
2014-01,103
2014-02,104
2014-03,112
2014-04,96
2014-05,86
2014-06,104
2014-07,76
2014-08,109
2014-09,101
2014-10,108
2014-11,83
2014-12,95
2015-01,70
2015-02,114
2015-03,137
2015-04,103
2015-05,128
2015-06,86
2015-07,105
2015-08,106
2015-09,116
2015-10,93
2015-11,67
2015-12,80
2016-01,127
2016-02,88
2016-03,119
2016-04,85
2016-05,27
