month,single duplex permits issued,multifamily permits issued
2011-05,29,9
2011-06,32,4
2011-07,30,1
2011-08,42,8
2011-09,28,4
2011-10,39,8
2011-11,18,3
2011-12,21,4
2012-01,22,4
2012-02,30,2
2012-03,44,13
2012-04,31,4
2012-05,44,11
2012-06,21,4
2012-07,39,10
2012-08,57,15
2012-09,67,7
2012-10,62,15
2012-11,46,17
2012-12,49,7
2013-01,63,6
2013-02,68,16
2013-03,52,13
2013-04,68,16
2013-05,44,9
2013-06,59,14
2013-07,87,14
2013-08,78,20
2013-09,79,20
2013-10,80,19
2013-11,66,21
2013-12,86,26
2014-01,88,15
2014-02,79,25
2014-03,79,33
2014-04,70,26
2014-05,60,26
2014-06,76,28
2014-07,62,14
2014-08,90,19
2014-09,83,18
2014-10,72,36
2014-11,66,17
2014-12,75,20
2015-01,56,14
2015-02,88,26
2015-03,87,50
2015-04,80,23
2015-05,96,32
2015-06,60,26
2015-07,79,26
2015-08,82,24
2015-09,85,31
2015-10,71,22
2015-11,51,16
2015-12,63,17
2016-01,97,30
2016-02,72,16
2016-03,91,28
2016-04,65,20
2016-05,22,5
