Date,Ped North,Ped South
03/01/2016,134,118
03/02/2016,159,133
03/03/2016,154,144
03/04/2016,144,105
03/05/2016,305,240
03/06/2016,183,148
03/07/2016,153,107
03/08/2016,164,148
03/09/2016,102,65
03/10/2016,140,120
03/11/2016,172,169
03/12/2016,233,216
03/13/2016,138,120
03/14/2016,140,107
03/15/2016,182,130
03/16/2016,181,135
03/17/2016,170,129
03/18/2016,179,171
03/19/2016,258,236
03/20/2016,200,207
03/21/2016,140,141
03/22/2016,216,167
03/23/2016,155,91
03/24/2016,175,126
03/25/2016,179,172
03/26/2016,255,218
03/27/2016,123,82
03/28/2016,200,148
03/29/2016,226,146
03/30/2016,212,201
03/31/2016,185,241
