response-id,seen-message,seen-mention,seen-email,seen-thank,seen-revert,seen-review,seen-link,seen-rights,rank-message,rank-mention,rank-email,rank-thank,rank-revert,rank-review,rank-link,rank-rights
1,1,1,1,1,1,,1,1,3,2,6,5,4,,7,1
2,1,1,,1,1,,1,,3,4,,5,2,,1,
3,1,1,,1,,,,,1,3,,2,,,,
4,1,1,1,1,,,1,,1,2,5,4,,,3,
5,1,1,,1,1,1,,,1,2,,4,3,5,,
6,1,,,1,,1,,,1,,,2,,3,,
7,1,1,,1,1,,1,1,1,2,,3,6,,5,4
8,1,1,,1,1,,1,,1,3,,4,5,,2,
9,1,1,1,1,1,1,1,1,3,2,1,6,4,7,8,5
10,1,1,1,1,1,1,1,1,2,3,4,6,5,7,8,1
11,1,1,,1,1,,1,,5,1,,3,2,,4,
12,1,1,,1,1,,1,1,3,2,,5,4,,6,1
13,1,1,,1,1,,1,,1,4,,5,2,,3,
14,1,1,1,1,1,,,,4,1,5,3,2,,,
15,1,1,,1,1,,1,,1,2,,4,3,,5,
16,1,1,,1,1,,1,,4,1,,3,2,,5,
17,1,1,,1,1,,,,1,2,,4,3,,,
18,1,1,1,1,1,1,1,1,1,2,7,6,3,5,8,4
19,1,1,,1,1,,1,,3,4,,2,5,,1,
20,1,1,,1,1,,,1,1,3,,4,2,,,5
21,1,1,,1,1,,1,1,1,2,,5,3,,6,4
22,1,1,1,1,1,,,1,1,3,4,6,2,,,5
23,1,1,1,1,1,1,1,1,2,3,7,1,4,6,5,8
24,1,1,,1,,,,,1,3,,2,,,,
25,,,,,1,,,,,,,,,,,
26,1,,,1,1,,,,2,,,3,1,,,
27,,,,,,1,1,,,,,,,,,
28,1,1,,1,1,1,1,,1,2,,4,3,5,6,
29,1,1,1,1,1,1,1,1,2,3,7,5,4,6,8,1
30,1,1,,1,1,1,1,1,2,1,,6,4,5,7,3
31,1,1,1,1,1,,1,1,1,3,2,6,4,,7,5
32,1,1,,1,1,1,1,1,2,3,,4,5,6,7,1
33,1,1,,1,1,1,1,,2,3,,4,1,5,6,
34,1,1,,1,,,,,2,1,,3,,,,
35,1,1,1,1,1,1,,1,1,3,6,4,2,5,,7
36,1,1,1,1,1,1,,1,2,3,4,6,5,7,,1
37,1,1,1,1,1,,1,,1,2,5,4,3,,6,
38,1,1,1,1,1,1,,1,2,3,7,4,1,6,,5
39,,1,,1,1,,,,,2,,3,1,,,
40,1,1,,1,,1,,,1,3,,4,,2,,
41,1,1,,1,1,,,1,3,2,,5,1,,,4
42,1,,,,,,,,,,,,,,,
43,1,1,,1,1,1,1,,2,1,,4,3,6,5,
44,1,1,,1,1,1,1,,4,2,,1,3,6,5,
45,1,,,,1,,1,,2,,,,1,,3,
46,1,1,,1,1,1,,1,3,4,,6,2,5,,1
47,1,1,1,1,,1,1,,3,4,1,5,,2,6,
48,1,1,,1,1,1,,,4,3,,2,1,5,,
49,1,1,,1,1,,1,1,3,4,,6,1,,5,2
50,1,,,1,1,1,1,,1,,,4,2,3,5,
51,1,,,1,,,,1,,,,,,,,
52,1,,,,1,,,,2,,,,1,,,
53,1,1,,1,1,1,1,,2,1,,5,3,4,6,
54,1,,,1,1,1,1,,,,,,,,,
55,1,1,1,1,1,,,,1,2,5,3,4,,,
56,1,1,,1,1,1,1,,2,3,,4,1,6,5,
57,1,1,1,1,1,,1,,3,2,4,1,5,,6,
58,,,,,,,1,,,,,,,,,
59,1,1,,1,1,,,,1,2,,3,4,,,
60,1,1,1,1,1,,1,,4,2,3,5,1,,6,
61,1,1,,1,1,,1,,4,1,,2,3,,5,
62,1,1,1,1,1,1,1,,3,4,2,6,1,7,5,
63,1,1,,1,,1,1,1,2,3,,5,,1,4,6
64,1,1,1,1,1,,,1,1,2,6,5,4,,,3
65,1,1,,1,1,,1,,2,1,,4,3,,5,
66,1,1,1,,1,1,,,1,2,3,,4,5,,
67,1,,,1,,1,1,,1,,,3,,2,4,
68,1,1,1,1,,,,,1,3,2,4,,,,
69,1,1,,1,1,1,1,,1,2,,3,4,5,6,
70,1,1,,1,1,1,1,,,,,,,,,
71,1,1,,1,1,,1,,3,2,,4,1,,5,
72,1,1,1,1,,1,,,,,,,,,,
73,1,1,1,1,1,,,,5,1,4,2,3,,,
74,1,1,,1,1,1,1,,5,2,,1,4,3,6,
75,1,1,1,1,1,1,1,1,1,2,4,5,3,7,6,8
76,1,1,,1,1,1,,,1,3,,4,2,5,,
77,1,1,,1,1,1,1,,1,2,,6,3,4,5,
78,1,1,,1,1,,,1,4,2,,5,3,,,1
79,1,1,,1,1,,,1,2,3,,5,1,,,4
80,1,1,,1,1,1,,1,1,2,,6,4,5,,3
81,1,1,1,1,,,1,,1,2,3,4,,,5,
82,1,1,1,1,1,,1,1,,,,,,,,
83,1,1,,1,1,,1,,4,1,,3,2,,5,
84,1,1,,1,1,,,,2,3,,4,1,,,
85,1,1,,1,1,,1,,3,2,,4,1,,5,
86,1,1,,1,1,1,,,5,1,,4,2,3,,
87,1,1,,1,1,1,,1,4,2,,6,3,5,,1
88,1,1,,1,1,,1,1,2,3,,5,4,,6,1
89,1,1,,1,1,1,1,,1,2,,6,4,3,5,
90,1,1,,1,1,,1,,2,1,,4,3,,5,
91,1,1,1,1,1,1,1,,2,3,7,6,1,4,5,
92,1,1,,1,1,1,1,1,2,3,,4,5,6,7,1
93,1,1,1,1,1,1,,1,2,4,5,1,3,6,,7
94,1,,,1,1,,,,3,,,1,2,,,
95,,,,1,,,,,,,,,,,,
96,1,1,,1,1,1,,,1,4,,5,2,3,,
97,1,1,,1,1,1,1,1,1,2,,7,4,5,6,3
98,1,1,1,1,1,,,1,4,3,6,5,1,,,2
99,1,1,,1,1,1,,,1,3,,5,2,4,,
100,1,1,,1,1,1,1,,1,2,,4,3,5,6,
101,1,,1,1,1,1,1,,3,,4,1,5,6,2,
102,1,1,,1,1,1,1,,1,2,,4,3,6,5,
